year,city,GDP,人均地区生产总值(元),population,job_count_last,job_count,gr,job_gr,city_new_comp_cnt,year_last,city_new_comp_cnt_last,yoy_gr,city_name,city_idx
2019,包头,27140000.0,93835.0,225.0,34.09,34.312,0.6512173657964041,-1.7324378080770202,26550,2019,25872,-1.8661811561219845,包头,27
2020,包头,27870000.0,102949.0,224.5,34.312,33.432,-2.5647003963627757,0.6512173657964041,32649,2020,26550,2.6205936920222634,包头,27
2021,包头,32930000.0,121331.0,224.0,33.432,33.831,1.1934673366834196,-2.5647003963627757,25877,2021,32649,22.971751412429377,包头,27
2019,北京,353710000.0,164220.0,1397.0,791.298,739.94,-6.490348768731874,-3.418031446279884,178535,2019,183996,2.6110621591175254,北京,0
2020,北京,361030000.0,164889.0,1405.5,739.94,759.509,2.644673892477763,-6.490348768731874,226930,2020,178535,-2.967999304332703,北京,0
2021,北京,402700000.0,183980.0,1414.0,759.509,747.057,-1.639480243157092,2.644673892477763,235482,2021,226930,27.106729772873667,北京,0
2019,北海,13010000.0,76955.0,180.0,13.827,14.593,5.539885730816518,1.999114783121871,27611,2019,23210,10.829911183268074,北海,215
2020,北海,12770000.0,69373.0,181.5,14.593,14.871,1.9050229562118857,5.539885730816518,22328,2020,27611,18.96165445928479,北海,215
2021,北海,15040000.0,80710.0,183.0,14.871,14.638,-1.5668078811108903,1.9050229562118857,30152,2021,22328,-19.133678606352543,北海,215
2019,十堰,20130000.0,59163.0,346.0,69.307,70.176,1.2538416033012536,0.69447471269379,28626,2019,45283,-23.99120451188398,十堰,163
2020,十堰,19150000.0,58304.0,343.0,70.176,53.195,-24.197731418148656,1.2538416033012536,66385,2020,28626,-36.78422366009319,十堰,163
2021,十堰,21640000.0,67973.0,340.0,53.195,36.214,-31.92217313657299,-24.197731418148656,88313,2021,66385,131.90456228603367,十堰,163
2019,南京,140310000.0,165681.0,710.0,202.519,216.108,6.709987704857322,-7.591396083155377,217264,2019,202250,4.250965191259929,南京,69
2020,南京,148180000.0,159322.0,722.0,216.108,217.899,0.8287522905214044,6.709987704857322,213933,2020,217264,7.423485784919653,南京,69
2021,南京,163560000.0,174520.0,734.0,217.899,206.308,-5.3194369868608895,0.8287522905214044,156222,2021,213933,-1.5331578172177627,南京,69
2019,南充,23220000.0,36073.0,724.0,43.589,43.605,0.03670650852278841,-0.5929439667951334,40302,2019,35844,1.6591508551008254,南充,230
2020,南充,24010000.0,42482.0,719.5,43.605,43.604,-0.0022933149868080943,0.03670650852278841,42460,2020,40302,12.437227987947775,南充,230
2021,南充,26020000.0,46589.0,715.0,43.604,43.604,0.0,-0.0022933149868080943,42473,2021,42460,5.3545729740459524,南充,230
2019,南宁,45070000.0,61738.0,782.0,109.006,109.767,0.6981267086215398,7.8327793605571445,90839,2019,99930,4.739644474257924,南宁,208
2020,南宁,47260000.0,54669.0,791.5,109.767,114.906,4.681734947661875,0.6981267086215398,102473,2020,90839,-9.097368157710397,南宁,208
2021,南宁,51210000.0,58241.0,801.0,114.906,107.52,-6.427862774789836,4.681734947661875,114800,2021,102473,12.807274408569006,南宁,208
2019,南平,19920000.0,74036.0,318.0,23.966,24.496,2.2114662438454373,-2.1636185499673317,44718,2019,36286,-8.377941622058378,南平,111
2020,南平,20070000.0,74903.0,316.5,24.496,23.271,-5.000816459830168,2.2114662438454373,64288,2020,44718,23.237612302265337,南平,111
2021,南平,21180000.0,79162.0,315.0,23.271,22.058,-5.212496239955313,-5.000816459830168,44716,2021,64288,43.763137886309764,南平,111
2019,南昌,55960000.0,100415.0,536.0,125.09,123.946,-0.9145415300983336,6.436022667324684,77351,2019,89661,11.411956211091368,南昌,118
2020,南昌,57460000.0,92697.0,538.0,123.946,119.503,-3.5846255627450647,-0.9145415300983336,93776,2020,77351,-13.729492198391721,南昌,118
2021,南昌,66510000.0,104788.0,540.0,119.503,110.625,-7.429102198271173,-3.5846255627450647,178835,2021,93776,21.234373181988598,南昌,118
2019,南通,93830000.0,128294.0,760.0,161.141,166.368,3.2437430573224715,-23.28080365644639,147836,2019,110668,-3.5312371969769614,南通,77
2020,南通,100360000.0,129900.0,756.0,166.368,165.689,-0.40813137141758155,3.2437430573224715,115955,2020,147836,33.58513752846351,南通,77
2021,南通,110270000.0,142721.0,752.0,165.689,165.073,-0.3717808665632513,-0.40813137141758155,79134,2021,115955,-21.565112692442977,南通,77
2019,南阳,38150000.0,38064.0,1239.0,71.064,67.474,-5.051784307103442,-8.186046511627923,89845,2019,80393,-0.6168718785541215,南阳,157
2020,南阳,39260000.0,40315.0,1235.0,67.474,64.916,-3.791089901295324,-5.051784307103442,114212,2020,89845,11.75724254599281,南阳,157
2021,南阳,43420000.0,44894.0,1231.0,64.916,64.534,-0.5884527697331795,-3.791089901295324,207181,2021,114212,27.121153097000388,南阳,157
2019,厦门,59950000.0,142739.0,261.0,126.903,126.703,-0.15760068713899816,-18.438084465039754,76437,2019,80499,-5.122281808002828,厦门,109
2020,厦门,63840000.0,123962.0,272.0,126.703,123.099,-2.8444472506570477,-0.15760068713899816,85150,2020,76437,-5.046025416464801,厦门,109
2021,厦门,70340000.0,134491.0,283.0,123.099,120.271,-2.297337915011497,-2.8444472506570477,86784,2021,85150,11.398929837644072,厦门,109
2019,双鸭山,4760000.0,33857.0,141.0,15.136,12.022,-20.57346723044397,-32.836350727724536,13472,2019,13160,-2.5401762571280453,双鸭山,64
2020,双鸭山,4940000.0,35391.0,139.0,12.022,12.401,3.1525536516386587,-20.57346723044397,15783,2020,13472,2.370820668693009,双鸭山,64
2021,双鸭山,5160000.0,43270.0,137.0,12.401,12.638,1.9111361986936546,3.1525536516386587,16687,2021,15783,17.154097387173397,双鸭山,64
2019,台州,51340000.0,83555.0,607.0,87.975,84.884,-3.513498152884335,-7.349874676158982,89664,2019,79436,6.711445459430414,台州,90
2020,台州,52630000.0,79889.0,606.5,84.884,90.671,6.817539230008018,-3.513498152884335,83088,2020,89664,12.87577420816758,台州,90
2021,台州,57860000.0,87089.0,606.0,90.671,91.384,0.7863594754662393,6.817539230008018,104442,2021,83088,-7.334047109207709,台州,90
2019,合肥,94090000.0,115623.0,770.0,170.907,172.991,1.2193766200331193,-6.755451772883249,148321,2019,165860,20.02923659205546,合肥,93
2020,合肥,100460000.0,108427.0,781.5,172.991,166.272,-3.8840170875941653,1.2193766200331193,205372,2020,148321,-10.574580971904016,合肥,93
2021,合肥,114130000.0,121187.0,793.0,166.272,168.606,1.4037240184757527,-3.8840170875941653,230729,2021,205372,38.46454649038235,合肥,93
2019,吉安,20850000.0,42060.0,540.0,40.501,37.926,-6.357867706970188,12.381031660145942,48857,2019,50297,9.984474426537798,吉安,128
2020,吉安,21680000.0,48307.0,539.0,37.926,38.625,1.8430628065179508,-6.357867706970188,67049,2020,48857,-2.862993816728632,吉安,128
2021,吉安,25260000.0,56789.0,538.0,38.625,39.401,2.009061488673148,1.8430628065179508,61164,2021,67049,37.23519659414209,吉安,128
2019,吉林,14170000.0,34335.0,412.0,35.91,33.828,-5.7978279030910445,5.0552922590837115,33305,2019,34722,-14.48836350203177,吉林,50
2020,吉林,14530000.0,35588.0,407.0,33.828,34.073,0.7242520988530134,-5.7978279030910445,39576,2020,33305,-4.080986118311157,吉林,50
2021,吉林,15500000.0,43333.0,402.0,34.073,32.351,-5.053854958471521,0.7242520988530134,43423,2021,39576,18.829004653955863,吉林,50
2019,吐鲁番,3840000.0,60985.0,63.0,16.212,12.586,-22.366148531951637,0.07407407407407689,6018,2019,7777,15.385756676557863,吐鲁番,295
2020,吐鲁番,3730000.0,61550.0,62.67,12.586,8.959,-28.817733990147786,-22.366148531951637,6297,2020,6018,-22.61797608332262,吐鲁番,295
2021,吐鲁番,4330000.0,62115.0,62.33,8.959,8.599,-4.018305614465894,-28.817733990147786,5328,2021,6297,4.636091724825524,吐鲁番,295
2019,吕梁,15120000.0,38890.0,394.0,34.68,35.353,1.9405997693194978,1.3205562697206912,37164,2019,33962,6.604306610584469,吕梁,25
2020,吕梁,15380000.0,42200.0,393.0,35.353,35.56,0.5855231522077355,1.9405997693194978,38090,2020,37164,9.428184441434546,吕梁,25
2021,吕梁,20710000.0,61200.0,392.0,35.56,35.59,0.08436445444319779,0.5855231522077355,74682,2021,38090,2.4916585943386074,吕梁,25
2019,吴忠,5800000.0,40889.0,143.0,9.995,11.109,11.145572786393206,9.570269677702251,15017,2019,15970,-3.065250379362671,吴忠,290
2020,吴忠,6220000.0,44330.0,143.5,11.109,11.868,6.832298136645966,11.145572786393206,17094,2020,15017,-5.967438948027551,吴忠,290
2021,吴忠,7620000.0,54933.0,144.0,11.868,11.743,-1.053252443545669,6.832298136645966,15016,2021,17094,13.830991542918024,吴忠,290
2019,周口,31980000.0,36891.0,1257.0,63.589,62.423,-1.833650474138604,6.107226885147419,72547,2019,79383,12.844897436990916,周口,159
2020,周口,32670000.0,36214.0,1257.5,62.423,58.63,-6.076285984332697,-1.833650474138604,96310,2020,72547,-8.611415542370533,周口,159
2021,周口,34960000.0,39126.0,1258.0,58.63,55.128,-5.973051338905002,-6.076285984332697,165543,2021,96310,32.755317242615135,周口,159
